DCA_Code,Common_Name,Scientific_Name,Category
12014,fall cankerworm,Alsophila pometaria,Defoliators
12015,alder flea beetle,Macrohaltica ambiens,Defoliators
12016,mountain mahogany looper,Anacamptodes clivinaria profanata,Defoliators
12017,birch leaffolder,Ancylis discigerana,Defoliators
12018,oak worms,Anisota spp.,Defoliators
12019,orangestriped oakworm,Anisota senatoria,Defoliators
12020,western larch sawfly,Anoplonyx occidens,Defoliators
12021,fruittree leafroller,Archips argyrospila,Defoliators
12022,uglynest caterpillar,Archips cerasivorana,Defoliators
12023,boxelder defoliator,Archips negundanus,Defoliators
12024,oak leafroller,Archips semiferana,Defoliators
12025,birch sawfly,Arge pectoralis,Defoliators
12026,arborvitae leafminer,Argyresthia thuiella,Defoliators
12028,Texas leafcutting ant,Atta texana,Defoliators
12029,oak skeletonizer,Bucculatrix ainsliella,Defoliators
12030,pear sawfly,Caliroa cerasi,Defoliators
12031,scarlet oak sawfly,Caliroa quercuscoccineae,Defoliators
12032,elm calligrapha,Calligrapha scalaris,Defoliators
12033,boxelder leafroller,Caloptilia negundella,Defoliators
12034,maple petiole borer,Caulocampus acericaulis,Defoliators
12035,spruce webspinning sawfly,Cephalcia fascipennis,Defoliators
12036,two-year-cycle budworm,Choristoneura biennis,Defoliators
12037,large aspen tortrix,Choristoneura conflictana,Defoliators
12038,spruce budworm,Choristoneura fumiferana,Defoliators
12039,western pine budworm,Choristoneura lambertiana,Defoliators
12040,western spruce budworm,Choristoneura freemani,Defoliators
12041,jack pine budworm,Choristoneura pinus,Defoliators
12042,Modoc budworm,Choristoneura retiniana,Defoliators
12043,aspen leaf beetle,Chrysomela crotchi,Defoliators
12044,cottonwood leaf beetle,Chrysomela scripta,Defoliators
12046,poplar tentmaker,Clostera inclusa,Defoliators
12047,larch casebearer,Coleophora laricella,Defoliators
12048,birch casebearer,Coleophora serratella,Defoliators
12049,lodgepole needleminer,Coleotechnites milleri,Defoliators
12050,Gelechiid moths/needleminers,Coleotechnites spp.,Defoliators
12051,Black Hills pandora moth,Coloradia doris,Defoliators
12052,pandora moth,Coloradia pandora,Defoliators
12053,sycamore lace bug,Corythucha ciliata,Defoliators
12054,lace bugs,Corythucha spp.,Defoliators
12055,oak leaftier,Croesia semipurpurana,Defoliators
12056,dusky birch sawfly,Croesus latitarsus,Defoliators
12057,walnut caterpillar,Datana integerrima,Defoliators
12058,yellownecked caterpillar,Datana ministra,Defoliators
12059,walkingstick,Diapheromera femorata,Defoliators
12061,introduced pine sawfly,Diprion similis,Defoliators
12062,greenstriped mapleworm,Dryocampa rubicunda,Defoliators
12064,elm spanworm,Ennomos subsignaria,Defoliators
12065,maple trumpet skeletonizer,Epinotia aceriella,Defoliators
12066,white fir needleminer,Epinotia meritana,Defoliators
12067,linden looper,Erannis tiliaria,Defoliators
12068,browntail moth,Euproctis chrysorrhoea,Defoliators
12069,pine needleminer,Exoteleia pinifoliella,Defoliators
12070,birch leafminer,Fenusa pusilla,Defoliators
12071,elm leafminer,Kaliofenusa ulmi,Defoliators
12072,geometrid moth,<Geometridae>,Defoliators
12073,leafblotch miner,<Gracillariidae>,Defoliators
12074,spotted tussock moth,Lophocampa maculata,Defoliators
12075,pale tussock moth,Lophocampa tessellaris,Defoliators
12076,hesperiid moth,Hasora chromus,Defoliators
12077,brown day moth,Hemileuca eglanterina,Defoliators
12078,buck moth,Hemileuca maia,Defoliators
12079,saddled prominent,Heterocampa guttivitta,Defoliators
12080,variable oakleaf caterpillar,Lochmaeus manteo,Defoliators
12081,cherry scallop shell moth,Hydria prunivorata,Defoliators
12082,fall webworm,Hyphantria cunea,Defoliators
12083,hemlock looper,Lambdina fiscellaria,Defoliators
12084,oak looper,Lambdina punctata,Defoliators
12085,tent caterpillar moth,<Lasiocampidae>,Defoliators
12086,satin moth,Leucoma salicis,Defoliators
12087,willow leafblotch miner,Lithocolletis spp.,Defoliators
12088,aspen blotchminer,Phyllonorycter tremuloidiella,Defoliators
12089,spongy moth,Lymantria dispar dispar,Defoliators
12090,cottonwood leafminers,Lyonetia spp.,Defoliators
12091,dogwood sawfly,Macremphytus tarsatus,Defoliators
12092,rose chafer,Macrodactylus subspinosus,Defoliators
12093,eastern tent caterpillar,Malacosoma americanum,Defoliators
12094,western tent caterpillar,Malacosoma californicum,Defoliators
12095,Pacific tent caterpillar,Malacosoma constrictum,Defoliators
12096,forest tent caterpillar,Malacosoma disstria,Defoliators
12097,southwestern tent caterpillar,Malacosoma incurvum,Defoliators
12098,leafcutting bees,<Megachilidae>,Defoliators
12100,early birch leaf edgeminer,Messa nana,Defoliators
12101,juniper sawfly,Monoctenus fulvus,Defoliators
12102,common sawflies,Nematus spp.,Defoliators
12103,balsam fir sawfly,Neodiprion abietis,Defoliators
12104,lodgepole sawfly,Neodiprion burkei,Defoliators
12105,blackheaded pine sawfly,Neodiprion excitans,Defoliators
12106,pine infesting sawflies,Neodiprion fulviceps sp. complex,Defoliators
12107,redheaded pine sawfly,Neodiprion lecontei,Defoliators
12109,ponderosa pine sawfly,Neodiprion mundus,Defoliators
12110,white pine sawfly,Neodiprion pinetum,Defoliators
12111,jack pine sawfly,Neodiprion pratti banksianae,Defoliators
12112,Virginia pine sawfly,Neodiprion pratti pratti,Defoliators
12113,European pine sawfly,Neodiprion sertifer,Defoliators
12114,loblolly pine sawfly,Neodiprion taedae linearis,Defoliators
12115,hemlock sawfly,Neodiprion tsugae,Defoliators
