DCA_Code,Common_Name,Scientific_Name,Category
15008,flatheaded borer,<Buprestidae>,Wood Borers
15009,golden buprestid,Buprestis aurulenta,Wood Borers
15010,carpenter ants,Camponotus spp.,Wood Borers
15011,gouty pitch midge,Cecidomyia piniinopis,Wood Borers
15012,shootboring sawflies,<Cephidae>,Wood Borers
15013,roundheaded borer,<Cerambycidae>,Wood Borers
15014,flatheaded appletree borer,Chrysobothris femorata,Wood Borers
15016,Columbian timber beetle,Corthylus columbianus,Wood Borers
15017,pitted ambrosia beetle,Corthylus punctatissimus,Wood Borers
15018,carpenterworm moths,<Cossidae>,Wood Borers
15019,poplar-and-willow borer,Cryptorhynchus lapathi,Wood Borers
15022,Zimmerman pine moth,Dioryctria zimmermani,Wood Borers
15025,lesser cornstalk borer,Elasmopalpus lignosellus,Wood Borers
15026,red oak borer,Enaphalodes rufulus,Wood Borers
15027,ponderous borer,Ergates spiculatus,Wood Borers
15030,Eucosma shoot borers,Eucosma spp.,Wood Borers
15031,sugar maple borer,Glycobius speciosus,Wood Borers
15032,Goes longhorn beetles,Goes spp.,Wood Borers
15035,powderpost beetles,<Lyctidae>,Wood Borers
15037,bark weevils,Magdalis spp.,Wood Borers
15038,white pine barkminer moth,Marmara fasciella,Wood Borers
15039,locust borer,Megacyllene robiniae,Wood Borers
15040,California flatheaded borer,Phaenops californica,Wood Borers
15041,flatheaded fir borer,Phaenops drummondi,Wood Borers
15042,whitespotted sawyer,Monochamus scutellatus,Wood Borers
15043,redheaded ash borer,Neoclytus acuminatus,Wood Borers
15044,western ash borer,Neoclytus conjunctus,Wood Borers
15045,oberea shoot borers,Oberea spp.,Wood Borers
15046,eucalyptus longhorned borer (P. semipunctata),Phoracantha semipunctata,Wood Borers
15047,northern pine weevil,Pissodes approximatus,Wood Borers
15048,balsam bark weevil,Pissodes striatulus,Wood Borers
15049,Monterey pine weevil,Pissodes radiatae,Wood Borers
15052,ambrosia beetles (pinhole borers),Platypodinae spp.,Wood Borers
15053,cottonwood borer,Plectrodera scalator,Wood Borers
15054,balsam shootboring sawfly,Pleroneura brunneicornis,Wood Borers
15055,pine gall weevil,Podapion gallicola,Wood Borers
15056,ash borer,Podosesia syringae fraxini,Wood Borers
15057,ash borer / lilac borer,Podosesia syringae,Wood Borers
15058,carpenterworm,Prionoxystus robiniae,Wood Borers
15059,maple shoot borers,Proteoteras spp.,Wood Borers
15060,western subterranean termite,Reticulitermes hesperus,Wood Borers
15061,coconut trunk weevil,Rhabdoscelus asperipennis,Wood Borers
15062,New Guinea sugarcane weevil,Rhabdoscelus obscurus,Wood Borers
15068,poplar borer,Saperda calcarata,Wood Borers
15069,roundheaded appletree borer,Saperda candida,Wood Borers
15070,Saperda shoot borer,Saperda spp.,Wood Borers
15071,clearwing moths,<Sesiidae>,Wood Borers
15072,dogwood borer,Synanthedon scitula,Wood Borers
15073,roundheaded fir borer,Tetropium abietis,Wood Borers
15074,western larch borer,Tetropium velutinum,Wood Borers
15075,western cedar borer,Trachykele blondeli,Wood Borers
15076,Douglas-fir pitch moth,Synanthedon novaroensis,Wood Borers
15077,sequoia pitch moth,Synanthedon sequoiae,Wood Borers
15078,black twig borer,Xylosandrus compactus,Wood Borers
15079,Pacific dampwood termite,Zootermopsis angusticollis,Wood Borers
15081,granulate ambrosia beetle,Xylosandrus crassiusculus,Wood Borers
15082,Asian longhorned beetle,Anoplophora glabripennis,Wood Borers
15084,southern pine sawyer,Monochamus titillator,Wood Borers
15085,banded ash borer,Neoclytus caprea,Wood Borers
15086,Sitka spruce weevil,Pissodes sitchensis,Wood Borers
15087,emerald ash borer,Agrilus planipennis,Wood Borers
15088,hemlock borer,Melanophila fulvoguttata,Wood Borers
15089,Formosan subterranean termite,Coptotermes formosanus,Wood Borers
15090,sirex woodwasp,Sirex noctilio,Wood Borers
15091,Oregon fir sawyer,Monochamus scutellatus oregonensis,Wood Borers
15092,cypress weevil,Eudociminus mannerheimii,Wood Borers
15093,camphor shot borer,Cnestus mutilatus,Wood Borers
15094,goldspotted oak borer,Agrilus auroguttatus,Wood Borers
15095,European oak borer,Agrilus sulcicollis,Wood Borers
15096,black stem borer,Xylosandrus germanus,Wood Borers
15097,<Icosium tomentosum>,Icosium tomentosum,Wood Borers
15098,cherry bark tortrix,Enarmonia formosana,Wood Borers
15099,eucalyptus longhorned borer (P. recurva),Phoracantha recurva,Wood Borers
15100,Japanese cedar longhorn beetle,Callidellum rufipenne,Wood Borers
15101,peach twig borer,Anarsia lineatella,Wood Borers
15102,soapberry borer,Agrilus prionurus,Wood Borers
15103,oak splendor beetle,Agrilus biguttatus,Wood Borers
15105,oak twig pruner,Anelaphus parallelus,Wood Borers
15106,horntails,<Siricidae>,Wood Borers
15107,striped ambrosia beetle,Trypodendron lineatum,Wood Borers
15108,redbay ambrosia beetle,Xyleborus glabratus,Wood Borers
15109,eastern poplar buprestid,Poecilonota cyanipes,Wood Borers
15110,flatheaded poplar borer,Dicerca tenebrica,Wood Borers
15111,Mexican goldspotted oak borer,Agrilus coxalis,Wood Borers
15112,polyphagus shothole borer,Euwallacea fornicatus,Wood Borers
15113,kuroshio shothole borer,Euwallacea kuroshio,Wood Borers
15114,ambrosia beetles,Scolytinae spp.,Wood Borers
15800,"other wood borer, known (code pending)","<other wood borer, known (code pending)>",Wood Borers
15900,unknown wood borer,<unknown wood borer>,Wood Borers
16001,Douglas-fir cone moth,Barbara colfaxiana,Seed/Cone/Flower/Fruit Feeders
16002,lodgepole cone beetle,Conophthorus contortae,Seed/Cone/Flower/Fruit Feeders
16003,limber pine cone beetle,Conophthorus flexilis,Seed/Cone/Flower/Fruit Feeders
16004,mountain pine cone beetle,Conophthorus monticolae,Seed/Cone/Flower/Fruit Feeders
16005,ponderosa pine cone beetle,Conophthorus ponderosae,Seed/Cone/Flower/Fruit Feeders
16006,Monterey pine cone beetle,Conophthorus radiatae,Seed/Cone/Flower/Fruit Feeders
16007,red pine cone beetle,Conophthorus resinosae,Seed/Cone/Flower/Fruit Feeders
16008,white pine cone beetle,Conophthorus coniperda,Seed/Cone/Flower/Fruit Feeders
16009,black walnut curculio,Conotrachelus retentus,Seed/Cone/Flower/Fruit Feeders
16010,Douglas-fir cone gall midge,Contarinia oregonensis,Seed/Cone/Flower/Fruit Feeders
16011,Douglas-fir cone scale midge,Contarinia washingtonensis,Seed/Cone/Flower/Fruit Feeders
16012,acorn/nut weevils,Curculio spp.,Seed/Cone/Flower/Fruit Feeders
16013,Caroline fruitfly,Dacus frauenfeldi,Seed/Cone/Flower/Fruit Feeders
16014,spruce bud midge,Dasineura swainei,Seed/Cone/Flower/Fruit Feeders
16015,fir coneworm,Dioryctria abietivorella,Seed/Cone/Flower/Fruit Feeders
16016,southern pine coneworm,Dioryctria amatella,Seed/Cone/Flower/Fruit Feeders
16017,ponderosa pine coneworm,Dioryctria auranticella,Seed/Cone/Flower/Fruit Feeders
16018,loblolly pine coneworm,Dioryctria merkeli,Seed/Cone/Flower/Fruit Feeders
16019,ponderosa twig moth,Dioryctria ponderosae,Seed/Cone/Flower/Fruit Feeders
16020,<Dioryctria pseudotsugella>,Dioryctria pseudotsugella,Seed/Cone/Flower/Fruit Feeders
16021,Dioryctria moths,Dioryctria spp.,Seed/Cone/Flower/Fruit Feeders
16022,lodgepole cone moth,Eucosma rescissoriana,Seed/Cone/Flower/Fruit Feeders
16023,seed chalcid,<Eurytomidae>,Seed/Cone/Flower/Fruit Feeders
16024,slash pine flower thrips,Gnophothrips fuscus,Seed/Cone/Flower/Fruit Feeders
16025,white spruce cone maggot,Strobilomyia neanthracina,Seed/Cone/Flower/Fruit Feeders
16026,longleaf pine seed worm or moth,Laspeyresia ingens,Seed/Cone/Flower/Fruit Feeders
16027,ponderosa pine seed moth,Laspeyresia piperana,Seed/Cone/Flower/Fruit Feeders
16028,spruce seed moth,Cydia strobilella,Seed/Cone/Flower/Fruit Feeders
16029,boxelder bug,Boisea trivittata,Seed/Cone/Flower/Fruit Feeders
16030,leaffooted pine seed bug,Leptoglossus corculus,Seed/Cone/Flower/Fruit Feeders
16031,western conifer-seed bug,Leptoglossus occidentalis,Seed/Cone/Flower/Fruit Feeders
16032,hollyhock thrips,Liothrips varicornis,Seed/Cone/Flower/Fruit Feeders
16033,subalpine fir seed chalcid,Megastigmus lasiocarpae,Seed/Cone/Flower/Fruit Feeders
16034,spruce seed chalcid,Megastigmus piceae,Seed/Cone/Flower/Fruit Feeders
16035,pine seed chalcid,Megastigmus albifrons,Seed/Cone/Flower/Fruit Feeders
16036,fir seed chalcid,Megastigmus pinus,Seed/Cone/Flower/Fruit Feeders
16037,Douglas-fir seed chalcid,Megastigmus spermotrophus,Seed/Cone/Flower/Fruit Feeders
16038,yellow poplar weevil,Odontopus calceatus,Seed/Cone/Flower/Fruit Feeders
16039,fruitpiercing moth,Othreis fullonia,Seed/Cone/Flower/Fruit Feeders
16040,roundheaded cone borer,Paratimia conicola,Seed/Cone/Flower/Fruit Feeders
16041,mango shoot caterpillar,Penicillaria jocosatrix,Seed/Cone/Flower/Fruit Feeders
16042,coneworm (Phycitinae),<Phycitinae>,Seed/Cone/Flower/Fruit Feeders
16043,harvester ants,Pogonomyrmex spp.,Seed/Cone/Flower/Fruit Feeders
16044,citrus flower moth,Prays citri,Seed/Cone/Flower/Fruit Feeders
16045,fir cone maggot,Strobilomyia abietis,Seed/Cone/Flower/Fruit Feeders
16046,spruce cone maggot,Strobilomyia anthracina,Seed/Cone/Flower/Fruit Feeders
16047,shieldbacked pine seed bug,Tetyra bipunctata,Seed/Cone/Flower/Fruit Feeders
16049,prairie tent caterpillar,Malacosoma lutescens,Seed/Cone/Flower/Fruit Feeders
16050,jack pine tip beetle,Conophthorus banksianae,Seed/Cone/Flower/Fruit Feeders
16051,webbing coneworm,Dioryctria disclusa,Seed/Cone/Flower/Fruit Feeders
16052,blister coneworm,Dioryctria clarioralis,Seed/Cone/Flower/Fruit Feeders
16053,southern cone gall midge,Cecidomyia bisetosa,Seed/Cone/Flower/Fruit Feeders
16054,seed bugs,<Lygaeidae>,Seed/Cone/Flower/Fruit Feeders
16055,spruce coneworm,Dioryctria reniculelloides,Seed/Cone/Flower/Fruit Feeders
16800,"other seed/cone/flower/fruit feeder, known (code pending)","<other seed/cone/flower/fruit feeder, known (code pending)>",Seed/Cone/Flower/Fruit Feeders
16900,unknown seed/cone/flower/fruit feeder,<unknown seed/cone/flower/fruit feeder>,Seed/Cone/Flower/Fruit Feeders
17001,birch budgall mite,Aceria rudis,Gallmakers
17002,eastern spruce gall adelgid,Adelges abietis,Gallmakers
17003,Cooley spruce gall adelgid,Adelges cooleyi,Gallmakers
17004,horned oak gall,Callirhytis cornigera,Gallmakers
17005,oak gall wasp,Callirhytis quercusfutilis,Gallmakers
17006,gall midge,<Cecidomyiidae>,Gallmakers
17007,Douglas-fir needle midge,Contarinia pseudotsugae,Gallmakers
17008,gall mite,<Eriophyidae>,Gallmakers
17009,spruce gall midge,Mayetiola piceae,Gallmakers
17010,hackberry nipplegall maker,Pachypsylla celtidismamma,Gallmakers
17011,balsam gall midge,Paradiplosis tumifex,Gallmakers
17012,hickory gall phylloxera,Phylloxera caryaecaulis,Gallmakers
17013,gall aphid,<Phylloxeridae>,Gallmakers
17014,alder gall mite,Phytoptus laevis,Gallmakers
17015,psyllid,<Psyllidae>,Gallmakers
17016,sugarberry psyllid,Tetragonocephela flava,Gallmakers
17017,mountain apple psyllid,Trioza vitiensis,Gallmakers
17019,spider mites,Oligonychus spp.,Gallmakers
17020,cypress gall midges,Taxodiomyia spp.,Gallmakers
17021,jumping oak gall wasp,Neuroterus saltatorius,Gallmakers
17022,erythrina gall wasp,Quadrastichus erythrinae,Gallmakers
17023,chestnut gall wasp,Dryocosmus kuriphilus,Gallmakers
17024,crypt gall wasp,Callirhytis ceropteroides,Gallmakers
17025,gall sawfly,Pontania spp.,Gallmakers
17026,willow gall midge,Rabdophaga spp.,Gallmakers
17027,cottonwood gall aphid,Pemphigus spp.,Gallmakers
17028,poplar gall aphid,Thecabius spp.,Gallmakers
17800,"other gallmaker, known (code pending)","<other gallmaker, known (code pending)>",Gallmakers
17900,unknown gallmaker,<unknown gallmaker>,Gallmakers
18006,pine tip moths,<pine tip moths>,"Terminal Shoot, Twig, and Root Feeders"
18007,conifer swift moth,Korsheltellus gracilis,"Terminal Shoot, Twig, and Root Feeders"
18008,coconut rhinoceros beetle,Oryctes rhinoceros,"Terminal Shoot, Twig, and Root Feeders"
18009,scarab,<Scarabaeidae>,"Terminal Shoot, Twig, and Root Feeders"
18010,june beetle,Phyllophaga spp.,"Terminal Shoot, Twig, and Root Feeders"
18011,pales weevil,Hylobius pales,"Terminal Shoot, Twig, and Root Feeders"
18012,periodical cicada,Magicicada septendecim,"Terminal Shoot, Twig, and Root Feeders"
18013,northern pitch twig moth,Petrova albicapitana,"Terminal Shoot, Twig, and Root Feeders"
18014,ponderosa pine tip moth,Rhyacionia zozana,"Terminal Shoot, Twig, and Root Feeders"
18015,pitch-eating weevil,Pachylobius picivorus,"Terminal Shoot, Twig, and Root Feeders"
18016,eastern pine weevil,Pissodes nemorensis,"Terminal Shoot, Twig, and Root Feeders"
18017,adana tip moth,Rhyacionia adana,"Terminal Shoot, Twig, and Root Feeders"
18018,twig girdler,Oncideres cingulata,"Terminal Shoot, Twig, and Root Feeders"
18019,cranberry girdler,Chrysoteuchia topiaria,"Terminal Shoot, Twig, and Root Feeders"
18020,pine reproduction weevil,Cylindrocopturus eatoni,"Terminal Shoot, Twig, and Root Feeders"
18021,Douglas-fir twig weevil,Cylindrocopturus furnissi,"Terminal Shoot, Twig, and Root Feeders"
18022,oak twig borers,Anelaphus spp.,"Terminal Shoot, Twig, and Root Feeders"
18023,twig pruner,Anelaphus villosus,"Terminal Shoot, Twig, and Root Feeders"
18024,eastern pine shoot borer,Eucosma gloriola,"Terminal Shoot, Twig, and Root Feeders"
18025,western pine shoot borer,Eucosma sonomana,"Terminal Shoot, Twig, and Root Feeders"
18026,pine root collar weevil,Hylobius radicis,"Terminal Shoot, Twig, and Root Feeders"
18027,Warren root collar weevil,Hylobius warreni,"Terminal Shoot, Twig, and Root Feeders"
18028,Engelmann spruce weevil,Pissodes strobi,"Terminal Shoot, Twig, and Root Feeders"
18029,lodgepole terminal weevil,Pissodes terminalis,"Terminal Shoot, Twig, and Root Feeders"
18030,European pine shoot moth,Rhyacionia buoliana,"Terminal Shoot, Twig, and Root Feeders"
18031,western pine tip moth,Rhyacionia bushnelli,"Terminal Shoot, Twig, and Root Feeders"
18032,Nantucket pine tip moth,Rhyacionia frustrana,"Terminal Shoot, Twig, and Root Feeders"
18033,lodgepole pine tip moth,Rhyacionia montana,"Terminal Shoot, Twig, and Root Feeders"
18034,southwestern pine tip moth,Rhyacionia neomexicana,"Terminal Shoot, Twig, and Root Feeders"
18035,subtropical pine tip moth,Rhyacionia subtropica,"Terminal Shoot, Twig, and Root Feeders"
18036,cottonwood twig borer,Gypsonoma haimbachiana,"Terminal Shoot, Twig, and Root Feeders"
18037,pine shoot beetle,Tomicus piniperda,"Terminal Shoot, Twig, and Root Feeders"
18038,palmetto weevil,Rynchophorus cruentatus,"Terminal Shoot, Twig, and Root Feeders"
18039,cicadas,<Cicadidae>,"Terminal Shoot, Twig, and Root Feeders"
18800,"other terminal shoot, twig, or root feeder, known (code pending)","<other terminal shoot, twig, or root feeder, known (code pending)>","Terminal Shoot, Twig, and Root Feeders"
18900,"unknown terminal shoot, twig, or root feeder","<unknown terminal shoot, twig, or root feeder>","Terminal Shoot, Twig, and Root Feeders"
20001,damping-off,<damping-off>,Miscellaneous Diseases
20002,gray mold,Botrytis cinerea,Miscellaneous Diseases
20005,virus,<virus>,Miscellaneous Diseases
20006,coconut cadang-cadang viroid,CCCvd (246-mecleotide form),Miscellaneous Diseases
20007,western X-disease phytoplasma,western X-disease phytoplasma,Miscellaneous Diseases
20008,elm phloem necrosis,Candidatus Phytoplasma ulmi,Miscellaneous Diseases
20009,tobacco mosaic virus,<tobacco mosaic virus>,Miscellaneous Diseases
20010,tobacco ringspot virus,Nepovirus TRSV,Miscellaneous Diseases
20011,fire blight,Erwinia amylovora,Miscellaneous Diseases
20800,"other micellaneous pathogen, known (code pending)","<other miscellaneous pathogen, known (code pending)>",Miscellaneous Diseases
20900,"other miscellanous pathogen, unknown","<other miscellanous pathogen, unknown>",Miscellaneous Diseases
21001,Armillaria root disease,Armillaria spp.,Root Diseases / Decay
21002,yellow stringy rot,Scytinostroma galactinum,Root Diseases / Decay
21003,Cylindrocladium root disease,Cylindrocladium spp.,Root Diseases / Decay
21004,red belt conk complex,Fomitopsis pinicola,Root Diseases / Decay
21005,black root rot of pine,Fusarium oxysporum,Root Diseases / Decay
21006,Fusarium root rot,Fusarium spp.,Root Diseases / Decay
21007,white mottled rot,Ganoderma spp.,Root Diseases / Decay
21008,Ganoderma rot of hardwoods,Ganoderma lucidum,Root Diseases / Decay
21009,Ganoderma rot of conifers,Ganoderma tsugae,Root Diseases / Decay
21011,circinatus root rot,Onnia circinata,Root Diseases / Decay
21012,tomentosus root rot/false velvet top fungus,Onnia tomentosa,Root Diseases / Decay
21013,charcoal root rot,Macrophomina phaseolina,Root Diseases / Decay
21014,black stain root disease,Leptographium wageneri,Root Diseases / Decay
21015,Schweinitzii root and butt rot,Phaeolus schweinitzii,Root Diseases / Decay
21016,flame tree root disease,Phellinus noxius,Root Diseases / Decay
21017,laminated root rot,Coniferiporia sulphurascens,Root Diseases / Decay
21019,littleleaf disease / Phytophthora root rot,Phytophthora cinnamomi,Root Diseases / Decay
21020,Port-Orford-cedar root disease,Phytophthora lateralis,Root Diseases / Decay
21022,Pythium root rot,Pythium spp.,Root Diseases / Decay
21023,procera root disease of conifers,Leptographium procerum,Root Diseases / Decay
21025,borealis conk,Climacocystis borealis,Root Diseases / Decay
21026,yellow pitted rot,Hericium abietis,Root Diseases / Decay
21027,brown cubical rot,Laetiporus sulphureus,Root Diseases / Decay
21029,Rhizina root disease,Rhizina undulata,Root Diseases / Decay
21030,yellow root rot,Perenniporia subacida,Root Diseases / Decay
21031,brown top rot,Fomitopsis cajanderi,Root Diseases / Decay
21033,pecky rot,Postia amara,Root Diseases / Decay
21034,Phytophthora disease of alder,Phytophtora alni,Root Diseases / Decay
21035,Douglas-fir black stain root disease,Leptographium wageneri var. pseudotsugae,Root Diseases / Decay
21036,pine black stain root disease,Leptographium wageneri var. ponderosum,Root Diseases / Decay
21037,Heterobasidion root disease P-type,Heterobasidion irregulare,Root Diseases / Decay
21038,Heterobasidion root disease S-type,Heterobasidion occidentale,Root Diseases / Decay
21039,heart rot,<heart rot>,Root Diseases / Decay
21040,stem rot,<stem rot>,Root Diseases / Decay
21041,sap rot,<sap rot>,Root Diseases / Decay
21042,gray brown sap rot,Cryptoporus volvatus,Root Diseases / Decay
21043,red rot,Dichomitus squalens,Root Diseases / Decay
21044,Indian paint fungus,Echinodontium tinctorium,Root Diseases / Decay
21045,Fusarium cortical stem rot,Gibberella avenacea,Root Diseases / Decay
21046,canker rot of oak,Inonotus hispidus,Root Diseases / Decay
21047,cinder conk / sterile conk trunk rot,Inonotus obliquus,Root Diseases / Decay
21048,ash heart rot,Perenniporia fraxinophila,Root Diseases / Decay
21049,red ring rot,Porodaedalea pini,Root Diseases / Decay
21050,aspen trunk rot,Phellinus tremulae,Root Diseases / Decay
21051,stem decay of black walnut,Sanghuangporus weirianus,Root Diseases / Decay
21052,brown trunk rot / quinine conk,Fomitopsis officinalis,Root Diseases / Decay
21053,wet rot / cellar fungus,Coniophora puteana,Root Diseases / Decay
21054,tinder fungus,Fomes fomentarius,Root Diseases / Decay
21055,purple conk,Trichaptum abietinum,Root Diseases / Decay
21056,pinyon black stain root disease,Leptographium wageneri,Root Diseases / Decay
21057,white trunk rot of conifers / Hartig?s conk,Phellinus hartigii,Root Diseases / Decay
21058,false tinder fungus,Phellinus igniarius,Root Diseases / Decay
21059,robustus conk,Fomitiporia robusta ,Root Diseases / Decay
21060,yellow cap fungus,Pholiota alnicola,Root Diseases / Decay
21061,oyster mushroom,Pleurotus ostreatus,Root Diseases / Decay
21062,redcedar white ring rot,Obba rivulosa,Root Diseases / Decay
21063,cedar brown pocket rot,Postia serieomollis,Root Diseases / Decay
21064,sterile conk of maple and beech,Inonotus glomeratus,Root Diseases / Decay
21065,birch conk,Piptoporus betulinus,Root Diseases / Decay
21066,red ring rot canker,Porodaedalea cancriformans,Root Diseases / Decay
21067,bacterial wetwood,Enterobacter nimipressuralis,Root Diseases / Decay
21068,artist's conk,Ganoderma applanatum,Root Diseases / Decay
21069,Phytophthora spp.,<Phytophthora spp.>,Root Diseases / Decay
21070,cedar laminated butt rot / yellow ring rot,Coniferiporia weirii,Root Diseases / Decay
21071,Coniophora (arida) brown rot,Coniophora arida,Root Diseases / Decay
21072,rainbow conk / turkey tail,Trametes versicolor,Root Diseases / Decay
21073,blue stain of spruce,Leptographium abietinum,Root Diseases / Decay
21074,<Pholiota spp.>,Pholiota spp.,Root Diseases / Decay
21075,red belt conk (with band),Fomitopsis mounceae,Root Diseases / Decay
21076,red belt conk (without band),Fomitopsis ochracea,Root Diseases / Decay
21077,Schrenk's red belt conk,Fomitopsis schrenkii,Root Diseases / Decay
21800,"other root disease or decay, known (code pending)","<other root disease or decay, known (code pending)>",Root Diseases / Decay
21900,unknown root disease or decay ,<unknown root disease or decay >,Root Diseases / Decay
22006,black knot of cherry,Apiosporina morbosa,Cankers
22007,atropellis canker,Atropellis piniphila,Cankers
22008,Siberian elm canker,Botryodiplodia hypodermia,Cankers
22009,Botryosphaeria canker,Botryosphaeria ribis,Cankers
22010,black rot fungus,Botryosphaeria stevensii,Cankers
22011,Caliciopsis canker,Caliciopsis pinea,Cankers
22012,black canker of aspen,Ceratocystis populicola,Cankers
22013,Sycamore canker,Ceratocystis fimbriata f. sp. platani,Cankers
22023,chestnut blight,Cryphonectria parasitica,Cankers
22025,Cryptosphaeria canker of aspen,Cryptosphaeria ligniota,Cankers
22026,Cytospora canker of fir,Cytospora abietis,Cankers
22029,sooty bark canker,Encoelia pruinosa,Cankers
22030,Eutypella canker,Eutypella parasitica,Cankers
22032,pitch canker of pines (Gibberella circinata also known as Fusarium circinatum),Gibberella circinata,Cankers
22033,Fusiococcum canker/constriction canker,Phomopsis amygdali,Cankers
22034,Scleroderris canker,Gremmeniella abietina,Cankers
22037,Hypoxylon canker of oak,Biscogniauxia atropunctata var. atropunctata,Cankers
22038,Hypoxylon canker of aspen,Entoleuca mammata,Cankers
22041,European larch canker,Lachnellula willkommii,Cankers
22042,beech bark disease complex,<beech bark disease complex>,Cankers
22043,Nectria canker,Neonectria ditissima,Cankers
22050,Phomopsis canker of Douglas-fir,Phomopsis occulta,Cankers
22051,Phomopsis canker,Phomopsis spp.,Cankers
22052,cypress canker,Seiridium cardinale,Cankers
22053,butternut canker,Sirococcus clavigignenti juglandacearum,Cankers
22054,maple canker,Steganosporium spp.,Cankers
22055,Thyronectria canker,Pleonectria austroamericana ,Cankers
22056,citrus canker,Xanthomonas citri,Cankers
22057,Cytospora canker of aspen,Cytospora chrysosperma,Cankers
22058,Dothichiza poplar canker,Chondroplea populea,Cankers
22060,Cytospora canker of spruce,Cytospora kunzei,Cankers
22073,hemlock canker,Xenomeris abietis,Cankers
22075,Lachnellula canker,Lachnellula flavovirens,Cankers
22076,Strumella canker,Strumella coryneoidea,Cankers
22077,Phomopsis blight,Phomopsis juniperivora,Cankers
22078,Nectria canker of yellow poplar,Nectria haematococca,Cankers
22080,aleurodiscus canker,Aleurodiscus spp.,Cankers
22082,Discocainia canker,Discocainia treleasei,Cankers
22085,Scleroderris canker of western firs,Grovesiella abieticola,Cankers
22086,thousand cankers disease,Geosmithia morbida,Cankers
22087,Dothichiza canker of poplar,Cryptodiaporthe populea,Cankers
22088,willow scab,Venturia saliciperda,Cankers
22089,apple scab,Venturia inaequalis,Cankers
22090,crown gall,Agrobacterium tumefaciens,Cankers
22091,sudden oak death,Phytophthora ramorum,Cankers
22092,Diplodia canker,Sphaeropsis sapinea,Cankers
22093,eutypella canker of maple,Eutypella parasitica,Cankers
22094,coral spot fungus,Nectria cinnabarina,Cankers
22095,rough bark of alder,Didymosphaeria oregonensis,Cankers
22096,Diplodia gall,Diplodia tumefaciens,Cankers
22097,California bay laurel dieback,Neofusicoccum nonquaesitum,Cankers
22098,pistachio canker,Leptosillia pistaciae,Cankers
22099,aspen running canker,"Neodothiora populina Crous, G.C. Adams, & Winton",Cankers
22800,"other canker agent, known (code pending)","<other canker agent, known (code pending)>",Cankers
22900,unknown canker,<unknown canker>,Cankers
22901,"Unknown canker, target","<Unknown canker, target>",Cankers
22902,"Unknown canker, diffuse","<Unknown canker, diffuse>",Cankers
23001,mistletoes,<mistletoe> ,Parasitic Higher Plants
23003,vine damage,<vine damage>,Parasitic Higher Plants
23005,white fir dwarf mistletoe,Arceuthobium abietinum f. sp. concoloris,Parasitic Higher Plants
23006,American dwarf mistletoe,Arceuthobium americanum,Parasitic Higher Plants
23007,Apache dwarf mistletoe,Arceuthobium apachecum,Parasitic Higher Plants
23008,western dwarf mistletoe,Arceuthobium campylopodum,Parasitic Higher Plants
23009,limber pine dwarf mistletoe,Arceuthobium cyanocarpum,Parasitic Higher Plants
23010,pinyon dwarf mistletoe,Arceuthobium divaricatum,Parasitic Higher Plants
23011,Douglas-fir dwarf mistletoe,Arceuthobium douglasii,Parasitic Higher Plants
23012,Huachuca Mountain dwarf mistletoe,Arceuthobium gillii,Parasitic Higher Plants
23013,larch dwarf mistletoe,Arceuthobium laricis,Parasitic Higher Plants
23014,western spruce dwarf mistletoe,Arceuthobium microcarpum,Parasitic Higher Plants
23015,eastern dwarf mistletoe,Arceuthobium pusillum,Parasitic Higher Plants
23016,hemlock dwarf mistletoe,Arceuthobium tsugense,Parasitic Higher Plants
23017,southwestern dwarf mistletoe,Arceuthobium vaginatum ssp. cryptopodum,Parasitic Higher Plants
23018,dodder,Cuscuta spp.,Parasitic Higher Plants
23019,fir mistletoe,Phoradendron pauciflorum,Parasitic Higher Plants
23020,true mistletoe,Phoradendron spp.,Parasitic Higher Plants
23021,red fir dwarf mistletoe,Arceuthobium abietinum f. sp. magnificae,Parasitic Higher Plants
23022,juniper mistletoe,Phoradendron juniperinum,Parasitic Higher Plants
23023,dwarf mistletoe,Arceuthobium spp.,Parasitic Higher Plants
23024,Klamath fir dwarf mistletoe,Arceuthobium abietinum ssp. wiensii,Parasitic Higher Plants
23025,"love vine, greek kasytas",Cassytha filiformis,Parasitic Higher Plants
23800,"other parasitic plant, known (code pending)","<other parasitic plant, known (code pending)>",Parasitic Higher Plants
23900,unknown parasitic plant,<unknown parasitic plant>,Parasitic Higher Plants
24019,pine wilt disease,Bursaphelenchus xylophilus,Wilts
24020,sapstreak disease,Ceratocystis coerulescens,Wilts
24021,oak wilt,Bretziella fagacearum,Wilts
24022,Dutch elm disease,Ophiostoma novo-ulmi,Wilts
24024,mimosa wilt,Fusarium oxysporum  f. sp. perniciosum,Wilts
24025,Verticillium wilt,Verticillium albo-atrum,Wilts
24031,laurel wilt,Raffaelea lauricola,Wilts
24033,koa wilt,Fusarium oxysporum f. sp. Koae,Wilts
24034,rapid 'ohia death,Ceratocystis spp.,Wilts
24035,rapid 'ohia death (huliohia-slow),Ceratocystis huliohia,Wilts
24036,rapid 'ohia death (lukuohia-aggressive),Ceratocystis lukuohia,Wilts
24037,tree-of-heaven wilt Vd,Verticillium dahliae,Wilts
24038,tree-of-heaven wilt Vn,Verticillium nonalfalfae,Wilts
24800,"other wilt, known (code pending)","<other wilt, known (code pending)>",Wilts
24900,unknown wilt,<unknown wilt>,Wilts
